Name,Age,Location,Gender,Weight(kg),Height(cm),BMI,Dietary Preference,Allergies,Workout Frequency,Workout Type,Workout Duration,Fitness Goals,Progress,Features Used,App Time(minutes),Interaction,Content Preference
*,"[36, 54[",******************************************************************,Female,99,160,38.7,Mediterranean,Gluten,4,Strength Training,102,Cardiovascular health,No change,Meal Tracker,107,Forum,Meal plans
*,"[18, 36[",******************************************************************,Male,112,192,30.4,Paleo,None,4,Yoga,84,Muscle gain,No change,Workout Creator,31,Forum,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,113,162,43.1,Vegetarian,None,4,Strength Training,28,Endurance,Improved,Virtual Coach,26,Forum,Workout videos
*,"[18, 36[",******************************************************************,Female,118,188,33.4,Low-fat,Shellfish,7,Yoga,79,Muscle gain,Significant,Health Stats,100,Comments,Workout videos
*,"[36, 54[",******************************************************************,Male,75,155,31.2,Keto,Dairy,7,Yoga,41,Endurance,Improved,Progress Tracker,98,Forum,Articles
*,"[36, 54[",******************************************************************,Non-binary,56,190,15.5,Vegan,Gluten,1,Strength Training,81,Cardiovascular health,Moderate,Virtual Coach,66,Messages,Meal plans
*,"[36, 54[",******************************************************************,Male,89,177,28.4,Paleo,Dairy,3,HIIT,109,Flexibility,Significant,Meal Tracker,54,Forum,Articles
*,"[36, 54[",******************************************************************,Male,100,185,29.2,Paleo,Shellfish,1,Mixed,44,Flexibility,Moderate,Workout Creator,84,None,Workout videos
*,"[36, 54[",******************************************************************,Female,56,155,23.3,Keto,Peanuts,6,Mixed,56,Flexibility,No change,Health Stats,60,None,Articles
*,"[18, 36[",******************************************************************,Male,106,173,35.4,Vegetarian,Peanuts,6,Yoga,108,Muscle gain,Improved,Meal Tracker,100,Comments,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,103,167,36.9,Vegetarian,Shellfish,6,Cardio,66,Flexibility,Moderate,Virtual Coach,32,None,Articles
*,"[54, 66[",******************************************************************,Non-binary,65,164,24.2,Paleo,Gluten,3,HIIT,26,Muscle gain,Improved,Challenges,73,Messages,Articles
*,"[36, 54[",******************************************************************,Male,83,168,29.4,Low-fat,Shellfish,5,Mixed,46,Cardiovascular health,Significant,Meal Tracker,27,Comments,Articles
*,"[36, 54[",******************************************************************,Female,54,162,20.6,Vegetarian,Dairy,2,Mixed,49,Cardiovascular health,Significant,Meal Tracker,77,None,Meal plans
*,"[18, 36[",******************************************************************,Non-binary,53,159,21.0,Mediterranean,Dairy,6,Cardio,60,Muscle gain,No change,Meal Tracker,119,Comments,Articles
*,"[18, 36[",******************************************************************,Non-binary,80,189,22.4,Vegetarian,Shellfish,6,Running,71,Weight loss,Improved,Meal Tracker,94,Messages,Workout videos
*,"[54, 66[",******************************************************************,Female,86,189,24.1,Paleo,Dairy,7,Cardio,90,Weight loss,Moderate,Virtual Coach,38,Forum,Articles
*,"[18, 36[",******************************************************************,Female,110,179,34.3,Paleo,Dairy,3,Running,26,Muscle gain,Moderate,Health Stats,74,Forum,Workout videos
*,"[54, 66[",******************************************************************,Non-binary,102,200,25.5,Vegan,Shellfish,3,HIIT,80,Muscle gain,Improved,Challenges,88,None,Workout videos
*,"[36, 54[",******************************************************************,Male,117,200,29.2,Vegetarian,None,3,HIIT,49,Endurance,Significant,Health Stats,90,Forum,Workout videos
*,"[54, 66[",******************************************************************,Male,98,165,36.0,Mediterranean,Shellfish,7,Running,99,Muscle gain,Improved,Challenges,55,None,Articles
*,"[18, 36[",******************************************************************,Non-binary,59,177,18.8,Keto,Shellfish,1,HIIT,95,Weight loss,Improved,Virtual Coach,50,Forum,Articles
*,"[36, 54[",******************************************************************,Female,116,156,47.7,Keto,Peanuts,3,Mixed,35,Weight loss,Significant,Workout Creator,15,Comments,Meal plans
*,"[36, 54[",******************************************************************,Male,103,155,42.9,Vegetarian,None,6,HIIT,22,Cardiovascular health,Improved,Health Stats,102,Forum,Meal plans
*,"[36, 54[",******************************************************************,Male,107,194,28.4,Paleo,Shellfish,2,HIIT,63,Endurance,Significant,Meal Tracker,116,Forum,Articles
*,"[18, 36[",******************************************************************,Male,112,175,36.6,Mediterranean,Dairy,3,Yoga,25,Flexibility,Improved,Virtual Coach,94,Messages,Meal plans
*,"[36, 54[",******************************************************************,Male,94,200,23.5,Vegetarian,Peanuts,3,Mixed,27,Endurance,Moderate,Health Stats,103,Forum,Workout videos
*,"[36, 54[",******************************************************************,Male,120,152,51.9,Low-carb,Peanuts,7,Mixed,119,Cardiovascular health,Significant,Progress Tracker,100,None,Workout videos
*,"[36, 54[",******************************************************************,Female,92,198,23.5,Vegetarian,None,5,Mixed,100,Endurance,Improved,Workout Creator,44,None,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,98,155,40.8,Paleo,None,3,Running,91,Muscle gain,Moderate,Progress Tracker,102,Forum,Meal plans
*,"[36, 54[",******************************************************************,Male,87,158,34.9,Gluten-free,Gluten,3,Running,53,Weight loss,Significant,Virtual Coach,16,Forum,Articles
*,"[18, 36[",******************************************************************,Female,107,161,41.3,Mediterranean,None,5,Mixed,106,Cardiovascular health,Significant,Workout Creator,95,None,Articles
*,"[54, 66[",******************************************************************,Non-binary,112,170,38.8,Low-fat,Dairy,1,Cardio,35,Endurance,No change,Challenges,59,Forum,Workout videos
*,"[54, 66[",******************************************************************,Male,63,183,18.8,Vegan,Dairy,3,Cardio,99,Flexibility,Improved,Workout Creator,71,Forum,Meal plans
*,"[36, 54[",******************************************************************,Male,78,168,27.6,Vegan,Peanuts,5,Yoga,92,Weight loss,Improved,Challenges,61,Comments,Articles
*,"[36, 54[",******************************************************************,Female,119,176,38.4,Keto,Shellfish,2,Cardio,119,Muscle gain,Significant,Health Stats,75,Comments,Workout videos
*,"[36, 54[",******************************************************************,Male,97,193,26.0,Gluten-free,Shellfish,3,Mixed,100,Flexibility,Improved,Virtual Coach,59,Messages,Articles
*,"[36, 54[",******************************************************************,Female,112,184,33.1,Vegan,Gluten,2,Mixed,36,Muscle gain,No change,Workout Creator,20,Forum,Workout videos
*,"[18, 36[",******************************************************************,Male,56,190,15.5,Vegetarian,Gluten,6,Mixed,112,Endurance,Significant,Virtual Coach,104,Messages,Meal plans
*,"[54, 66[",******************************************************************,Male,77,159,30.5,Mediterranean,None,4,HIIT,102,Cardiovascular health,Moderate,Challenges,53,Comments,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,82,160,32.0,Vegetarian,Peanuts,4,HIIT,47,Endurance,Significant,Health Stats,69,None,Workout videos
*,"[18, 36[",******************************************************************,Male,88,161,33.9,Mediterranean,Dairy,3,HIIT,27,Muscle gain,Significant,Meal Tracker,81,None,Workout videos
*,"[18, 36[",******************************************************************,Female,57,155,23.7,Paleo,Shellfish,2,Cardio,56,Endurance,No change,Challenges,15,None,Articles
*,"[36, 54[",******************************************************************,Non-binary,117,151,51.3,Low-fat,Dairy,4,Cardio,81,Cardiovascular health,No change,Challenges,37,Forum,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,60,197,15.5,Low-fat,Dairy,7,Strength Training,109,Muscle gain,No change,Meal Tracker,89,None,Meal plans
*,"[18, 36[",******************************************************************,Male,114,194,30.3,Keto,Gluten,2,HIIT,118,Muscle gain,No change,Meal Tracker,22,Forum,Workout videos
*,"[18, 36[",******************************************************************,Female,109,185,31.8,Keto,None,6,Yoga,21,Flexibility,Significant,Meal Tracker,75,Messages,Articles
*,"[18, 36[",******************************************************************,Non-binary,81,195,21.3,Low-carb,Gluten,4,HIIT,102,Endurance,Moderate,Virtual Coach,117,Forum,Workout videos
*,"[54, 66[",******************************************************************,Non-binary,71,173,23.7,Vegetarian,Dairy,6,Strength Training,29,Flexibility,No change,Challenges,104,Comments,Workout videos
*,"[18, 36[",******************************************************************,Female,104,166,37.7,Mediterranean,Dairy,5,Yoga,105,Flexibility,No change,Virtual Coach,74,Forum,Articles
*,"[18, 36[",******************************************************************,Female,105,165,38.6,Paleo,Gluten,7,Running,117,Flexibility,Moderate,Virtual Coach,98,Messages,Workout videos
*,"[54, 66[",******************************************************************,Male,54,156,22.2,Gluten-free,None,2,Running,57,Weight loss,Significant,Meal Tracker,15,Forum,Meal plans
*,"[18, 36[",******************************************************************,Female,100,187,28.6,Vegetarian,Shellfish,3,Cardio,43,Cardiovascular health,Moderate,Progress Tracker,40,None,Workout videos
*,"[54, 66[",******************************************************************,Male,117,191,32.1,Mediterranean,Peanuts,6,Mixed,87,Muscle gain,Improved,Workout Creator,100,Forum,Articles
*,"[36, 54[",******************************************************************,Non-binary,91,158,36.5,Vegetarian,Peanuts,4,Mixed,93,Cardiovascular health,No change,Health Stats,76,Comments,Meal plans
*,"[18, 36[",******************************************************************,Non-binary,98,151,43.0,Mediterranean,Shellfish,3,Strength Training,72,Endurance,No change,Progress Tracker,38,Comments,Articles
*,"[54, 66[",******************************************************************,Non-binary,83,161,32.0,Low-fat,Dairy,3,Mixed,43,Endurance,Improved,Meal Tracker,69,Forum,Meal plans
*,"[36, 54[",******************************************************************,Female,93,164,34.6,Low-carb,Gluten,3,Strength Training,63,Flexibility,Significant,Progress Tracker,61,Messages,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,65,172,22.0,Paleo,Dairy,2,Running,73,Endurance,Moderate,Virtual Coach,53,Forum,Workout videos
*,"[18, 36[",******************************************************************,Female,99,198,25.3,Vegan,Peanuts,5,Cardio,59,Endurance,Improved,Workout Creator,49,None,Articles
*,"[36, 54[",******************************************************************,Male,92,171,31.5,Low-carb,None,3,Yoga,28,Flexibility,Significant,Challenges,98,Comments,Workout videos
*,"[36, 54[",******************************************************************,Male,67,163,25.2,Keto,None,5,Yoga,105,Cardiovascular health,Moderate,Progress Tracker,113,Messages,Articles
*,"[36, 54[",******************************************************************,Female,65,159,25.7,Low-carb,Gluten,4,Cardio,56,Weight loss,Moderate,Meal Tracker,52,None,Articles
*,"[18, 36[",******************************************************************,Male,68,173,22.7,Paleo,Dairy,2,Running,61,Muscle gain,No change,Progress Tracker,37,Forum,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,111,184,32.8,Vegetarian,Gluten,3,Yoga,56,Cardiovascular health,Significant,Progress Tracker,77,Comments,Meal plans
*,"[36, 54[",******************************************************************,Non-binary,89,164,33.1,Vegetarian,Gluten,1,HIIT,83,Flexibility,Moderate,Challenges,46,Forum,Meal plans
*,"[54, 66[",******************************************************************,Non-binary,94,160,36.7,Vegetarian,Dairy,4,HIIT,82,Muscle gain,Significant,Workout Creator,20,Messages,Meal plans
*,"[54, 66[",******************************************************************,Female,72,186,20.8,Vegan,Shellfish,3,Yoga,101,Cardiovascular health,Improved,Meal Tracker,60,Comments,Workout videos
*,"[18, 36[",******************************************************************,Male,94,194,25.0,Mediterranean,Peanuts,1,Yoga,88,Endurance,Improved,Virtual Coach,49,Forum,Articles
*,"[54, 66[",******************************************************************,Male,120,156,49.3,Gluten-free,Dairy,7,Cardio,90,Flexibility,Improved,Health Stats,16,Messages,Workout videos
*,"[54, 66[",******************************************************************,Male,115,190,31.9,Gluten-free,None,6,Cardio,111,Muscle gain,No change,Health Stats,78,Comments,Articles
*,"[54, 66[",******************************************************************,Non-binary,78,180,24.1,Gluten-free,Shellfish,5,Mixed,38,Muscle gain,No change,Challenges,50,Messages,Articles
*,"[18, 36[",******************************************************************,Non-binary,51,197,13.1,Low-fat,Gluten,3,Strength Training,89,Muscle gain,Significant,Progress Tracker,22,None,Articles
*,"[54, 66[",******************************************************************,Female,117,198,29.8,Vegan,Gluten,3,Cardio,96,Endurance,No change,Workout Creator,90,None,Articles
*,"[54, 66[",******************************************************************,Non-binary,59,179,18.4,Vegan,Gluten,4,Strength Training,84,Weight loss,Significant,Health Stats,80,Forum,Articles
*,"[54, 66[",******************************************************************,Non-binary,98,161,37.8,Gluten-free,Gluten,4,Yoga,75,Weight loss,Improved,Progress Tracker,97,None,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,99,169,34.7,Gluten-free,Gluten,6,HIIT,93,Muscle gain,No change,Health Stats,24,Comments,Articles
*,"[18, 36[",******************************************************************,Non-binary,106,198,27.0,Low-carb,Dairy,7,Mixed,41,Weight loss,Significant,Virtual Coach,112,Comments,Workout videos
*,"[36, 54[",******************************************************************,Female,96,170,33.2,Vegetarian,Peanuts,1,Strength Training,113,Endurance,Significant,Workout Creator,60,Messages,Articles
*,"[54, 66[",******************************************************************,Non-binary,88,179,27.5,Low-carb,Gluten,2,Yoga,41,Cardiovascular health,No change,Meal Tracker,21,None,Meal plans
*,"[36, 54[",******************************************************************,Female,101,153,43.1,Paleo,Gluten,7,HIIT,68,Endurance,No change,Progress Tracker,93,Messages,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,105,187,30.0,Vegetarian,Peanuts,4,Mixed,61,Muscle gain,Significant,Challenges,112,None,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,81,154,34.2,Paleo,Shellfish,5,Yoga,37,Weight loss,Significant,Virtual Coach,25,Comments,Articles
*,"[54, 66[",******************************************************************,Male,53,152,22.9,Paleo,Peanuts,5,Running,91,Weight loss,Improved,Challenges,115,Comments,Meal plans
*,"[18, 36[",******************************************************************,Female,96,183,28.7,Vegan,None,5,Yoga,24,Muscle gain,Significant,Meal Tracker,90,Forum,Workout videos
*,"[18, 36[",******************************************************************,Non-binary,77,178,24.3,Gluten-free,Peanuts,6,Running,56,Endurance,No change,Meal Tracker,104,Forum,Meal plans
*,"[36, 54[",******************************************************************,Non-binary,89,168,31.5,Keto,Peanuts,2,Running,21,Endurance,Significant,Meal Tracker,41,Messages,Articles
*,"[36, 54[",******************************************************************,Non-binary,110,163,41.4,Mediterranean,Dairy,7,Strength Training,90,Weight loss,Significant,Progress Tracker,20,None,Articles
*,"[54, 66[",******************************************************************,Male,53,151,23.2,Low-carb,Shellfish,2,HIIT,109,Muscle gain,Significant,Progress Tracker,51,Forum,Workout videos
*,"[54, 66[",******************************************************************,Male,96,154,40.5,Keto,Shellfish,4,Running,78,Muscle gain,No change,Virtual Coach,59,Comments,Articles
*,"[36, 54[",******************************************************************,Male,58,192,15.7,Low-carb,None,4,Mixed,30,Weight loss,No change,Challenges,19,Comments,Workout videos
*,"[18, 36[",******************************************************************,Male,56,155,23.3,Low-fat,None,3,Cardio,25,Muscle gain,Improved,Health Stats,88,None,Articles
*,"[54, 66[",******************************************************************,Female,59,170,20.4,Vegan,Dairy,7,Mixed,97,Weight loss,Moderate,Challenges,32,Forum,Workout videos
*,"[18, 36[",******************************************************************,Male,93,173,31.1,Gluten-free,Gluten,6,Cardio,65,Flexibility,No change,Meal Tracker,92,None,Workout videos
*,"[18, 36[",******************************************************************,Female,112,181,34.2,Gluten-free,Peanuts,3,HIIT,59,Endurance,Improved,Meal Tracker,35,Comments,Meal plans
*,"[36, 54[",******************************************************************,Male,100,197,25.8,Low-fat,Gluten,3,Cardio,79,Endurance,Improved,Health Stats,17,None,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,110,159,43.5,Keto,Dairy,2,Running,67,Weight loss,Improved,Challenges,33,Comments,Meal plans
*,"[54, 66[",******************************************************************,Male,71,170,24.6,Vegan,Dairy,3,HIIT,85,Muscle gain,Improved,Workout Creator,45,None,Articles
*,"[18, 36[",******************************************************************,Male,104,151,45.6,Keto,Shellfish,4,Mixed,38,Cardiovascular health,Improved,Challenges,60,Comments,Articles
*,"[18, 36[",******************************************************************,Female,79,150,35.1,Vegan,Shellfish,4,Yoga,53,Weight loss,Significant,Virtual Coach,111,Comments,Workout videos
*,"[18, 36[",******************************************************************,Female,60,164,22.3,Paleo,Peanuts,5,Yoga,114,Endurance,Significant,Progress Tracker,115,Forum,Workout videos
*,"[18, 36[",******************************************************************,Male,63,195,16.6,Vegetarian,Shellfish,6,HIIT,86,Cardiovascular health,Improved,Virtual Coach,35,Messages,Articles
*,"[36, 54[",******************************************************************,Male,53,185,15.5,Mediterranean,None,6,Yoga,21,Flexibility,Improved,Meal Tracker,98,Comments,Workout videos
*,"[36, 54[",******************************************************************,Male,103,191,28.2,Vegetarian,None,5,Mixed,93,Flexibility,Improved,Health Stats,67,Messages,Workout videos
*,"[54, 66[",******************************************************************,Female,119,182,35.9,Paleo,Shellfish,6,Running,77,Muscle gain,Improved,Meal Tracker,91,Forum,Articles
*,"[36, 54[",******************************************************************,Male,115,162,43.8,Vegetarian,Shellfish,4,Cardio,75,Weight loss,Improved,Progress Tracker,60,Messages,Meal plans
*,"[54, 66[",******************************************************************,Female,119,157,48.3,Vegan,Gluten,5,Mixed,67,Weight loss,Moderate,Meal Tracker,77,Comments,Workout videos
*,"[54, 66[",******************************************************************,Non-binary,86,161,33.2,Low-carb,Gluten,3,HIIT,26,Flexibility,Significant,Challenges,107,Messages,Articles
*,"[54, 66[",******************************************************************,Female,52,184,15.4,Mediterranean,Peanuts,7,Strength Training,117,Endurance,Improved,Progress Tracker,101,None,Articles
*,"[36, 54[",******************************************************************,Non-binary,112,175,36.6,Low-fat,Shellfish,4,Mixed,27,Weight loss,Significant,Progress Tracker,108,None,Articles
*,"[54, 66[",******************************************************************,Female,90,156,37.0,Low-fat,None,5,Yoga,25,Endurance,No change,Virtual Coach,53,Messages,Workout videos
*,"[18, 36[",******************************************************************,Female,66,160,25.8,Low-fat,None,5,Yoga,88,Weight loss,Moderate,Challenges,72,Forum,Meal plans
*,"[18, 36[",******************************************************************,Male,76,190,21.1,Keto,Peanuts,7,HIIT,40,Cardiovascular health,Improved,Health Stats,111,Comments,Meal plans
*,"[18, 36[",******************************************************************,Male,64,188,18.1,Paleo,Shellfish,4,Running,93,Weight loss,Significant,Workout Creator,77,Forum,Workout videos
*,"[18, 36[",******************************************************************,Male,106,168,37.6,Vegan,Dairy,3,Mixed,62,Cardiovascular health,Improved,Health Stats,17,Forum,Meal plans
*,"[36, 54[",******************************************************************,Female,93,181,28.4,Vegetarian,Shellfish,1,HIIT,64,Weight loss,No change,Meal Tracker,64,Comments,Workout videos
*,"[36, 54[",******************************************************************,Non-binary,111,183,33.1,Vegetarian,Gluten,6,Cardio,40,Muscle gain,No change,Progress Tracker,83,Messages,Workout videos
*,"[54, 66[",******************************************************************,Male,51,187,14.6,Gluten-free,None,2,Strength Training,59,Flexibility,No change,Meal Tracker,33,None,Articles
*,"[54, 66[",******************************************************************,Female,98,196,25.5,Vegetarian,Dairy,6,Yoga,94,Muscle gain,No change,Workout Creator,57,Forum,Articles
*,"[54, 66[",******************************************************************,Non-binary,66,196,17.2,Vegetarian,None,1,Mixed,35,Cardiovascular health,No change,Challenges,50,Comments,Workout videos
